# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1.2664e-06      	smoothSolver	2.04479770e-04	3.32894080e-13	1	7.36675070e-02	3.24385830e-13	1	false	smoothSolver	1.13621170e-03	1.59750640e-13	1	true	DILUPBiCGStab	1.53207280e-03	3.40577440e-10	1	true	DILUPBiCGStab	6.60315560e-06	4.63859380e-12	1	true	GAMG	1.05774460e-03	1.86294800e-14	1	true
1.3664e-06      	smoothSolver	2.02360070e-04	3.01590840e-13	1	6.84040290e-02	2.47864840e-13	1	false	smoothSolver	1.05043660e-03	1.50905490e-13	1	true	DILUPBiCGStab	1.41367300e-03	3.14142080e-10	1	true	DILUPBiCGStab	6.59350860e-06	4.62496520e-12	1	true	GAMG	9.72978020e-04	1.55330260e-14	1	true
1.46641e-06     	smoothSolver	2.00217530e-04	2.74267950e-13	1	6.38430560e-02	1.94017790e-13	1	false	smoothSolver	9.77141930e-04	1.43189890e-13	1	true	DILUPBiCGStab	1.31254230e-03	2.91574270e-10	1	true	DILUPBiCGStab	6.58323710e-06	4.60981170e-12	1	true	GAMG	9.00659600e-04	1.47251370e-14	1	true
1.56641e-06     	smoothSolver	1.98063010e-04	2.59109970e-13	1	5.98505700e-02	1.53453200e-13	1	false	smoothSolver	9.13778080e-04	1.28244630e-13	1	true	DILUPBiCGStab	1.22515270e-03	2.72077770e-10	1	true	DILUPBiCGStab	6.57223300e-06	4.59294080e-12	1	true	GAMG	8.38243650e-04	1.33290340e-14	1	true
1.66641e-06     	smoothSolver	1.95922840e-04	2.37182010e-13	1	5.63250340e-02	1.23031920e-13	1	false	smoothSolver	8.58445280e-04	1.22911270e-13	1	true	DILUPBiCGStab	1.14887400e-03	2.55064660e-10	1	true	DILUPBiCGStab	6.56042360e-06	4.57494450e-12	1	true	GAMG	7.83833980e-04	1.34138670e-14	1	true
1.76642e-06     	smoothSolver	1.93807150e-04	2.19313950e-13	1	5.31879940e-02	1.00175520e-13	1	false	smoothSolver	8.09699620e-04	1.16228390e-13	1	true	DILUPBiCGStab	1.08170580e-03	2.40096660e-10	1	true	DILUPBiCGStab	6.54777000e-06	4.55613700e-12	1	true	GAMG	7.35989220e-04	1.14952640e-14	1	true
1.86642e-06     	smoothSolver	1.91726930e-04	2.09062890e-13	1	5.03778120e-02	8.29737170e-14	1	false	smoothSolver	7.66423560e-04	1.10866990e-13	1	true	DILUPBiCGStab	1.02210490e-03	2.26818780e-10	1	true	DILUPBiCGStab	6.53423940e-06	4.53661370e-12	1	true	GAMG	6.93594110e-04	1.28375430e-14	1	true
1.96642e-06     	smoothSolver	1.89684440e-04	1.98073780e-13	1	4.78453470e-02	6.95097820e-14	1	false	smoothSolver	7.27739120e-04	1.04522310e-13	1	true	DILUPBiCGStab	9.68854410e-04	2.14956680e-10	1	true	DILUPBiCGStab	6.51979740e-06	4.51638150e-12	1	true	GAMG	6.55772640e-04	1.08530910e-14	1	true
2.06643e-06     	smoothSolver	1.87676940e-04	1.81068190e-13	1	4.55509180e-02	5.82560560e-14	1	false	smoothSolver	6.92946620e-04	9.96081770e-14	1	true	DILUPBiCGStab	9.20985410e-04	2.04292940e-10	1	true	DILUPBiCGStab	6.50443980e-06	4.49537470e-12	1	true	GAMG	6.21826880e-04	1.05302070e-14	1	true
2.16643e-06     	smoothSolver	1.85725920e-04	1.77184780e-13	1	4.34621090e-02	4.97170660e-14	1	false	smoothSolver	6.61481920e-04	9.53057420e-14	1	true	DILUPBiCGStab	8.77716600e-04	1.94656730e-10	1	true	DILUPBiCGStab	6.48815810e-06	4.47360140e-12	1	true	GAMG	5.91193620e-04	1.01790290e-14	1	true
2.26643e-06     	smoothSolver	1.83817920e-04	1.64238800e-13	1	4.15521770e-02	4.30502760e-14	1	false	smoothSolver	6.32885690e-04	8.81528490e-14	1	true	DILUPBiCGStab	8.38411860e-04	1.85904840e-10	1	true	DILUPBiCGStab	6.47091910e-06	4.45103100e-12	1	true	GAMG	5.63414750e-04	9.30738960e-15	1	true
2.36644e-06     	smoothSolver	1.81945110e-04	1.53525200e-13	1	3.97988470e-02	3.73822610e-14	1	false	smoothSolver	6.06778200e-04	8.85642070e-14	1	true	DILUPBiCGStab	8.02549740e-04	1.77920230e-10	1	true	DILUPBiCGStab	6.45272800e-06	4.42765130e-12	1	true	GAMG	5.38111400e-04	9.02555340e-15	1	true
2.46644e-06     	smoothSolver	1.80104430e-04	1.48931960e-13	1	3.81834180e-02	3.25188130e-14	1	false	smoothSolver	5.82844030e-04	8.18550660e-14	1	true	DILUPBiCGStab	7.69701340e-04	1.70607150e-10	1	true	DILUPBiCGStab	6.43357630e-06	4.40343600e-12	1	true	GAMG	5.14969180e-04	9.04967010e-15	1	true
2.56644e-06     	smoothSolver	1.78294440e-04	1.39902730e-13	1	3.66900650e-02	2.83798940e-14	1	false	smoothSolver	5.60818910e-04	7.87611510e-14	1	true	DILUPBiCGStab	7.39495910e-04	1.63881780e-10	1	true	DILUPBiCGStab	6.41347350e-06	4.37838440e-12	1	true	GAMG	4.93724460e-04	8.84842320e-15	1	true
2.66645e-06     	smoothSolver	1.76513180e-04	1.37964080e-13	1	3.53053110e-02	2.48615390e-14	1	false	smoothSolver	5.40480050e-04	7.57711200e-14	1	true	DILUPBiCGStab	7.11735390e-04	1.57905410e-10	1	true	DILUPBiCGStab	6.39201130e-06	4.35233330e-12	1	true	GAMG	4.74154980e-04	7.47447160e-15	1	true
2.76645e-06     	smoothSolver	1.74750060e-04	1.31504720e-13	1	3.40168930e-02	2.19052890e-14	1	false	smoothSolver	5.21636270e-04	7.29409400e-14	1	true	DILUPBiCGStab	6.85922830e-04	1.52146310e-10	1	true	DILUPBiCGStab	6.36999880e-06	4.32559380e-12	1	true	GAMG	4.56079720e-04	6.73848550e-15	1	true
2.86645e-06     	smoothSolver	1.73016450e-04	1.24642340e-13	1	3.28157120e-02	1.94910810e-14	1	false	smoothSolver	5.04126710e-04	7.24089970e-14	1	true	DILUPBiCGStab	6.61960290e-04	1.46799350e-10	1	true	DILUPBiCGStab	6.34704420e-06	4.29801950e-12	1	true	GAMG	4.39327740e-04	6.25411840e-15	1	true
2.96646e-06     	smoothSolver	1.71309120e-04	1.19678720e-13	1	3.16930960e-02	1.74966480e-14	1	false	smoothSolver	4.87812680e-04	7.02868690e-14	1	true	DILUPBiCGStab	6.39655260e-04	1.41822960e-10	1	true	DILUPBiCGStab	6.32316550e-06	4.26961060e-12	1	true	GAMG	4.23760610e-04	7.86861640e-15	1	true
3.06646e-06     	smoothSolver	1.69629680e-04	1.13442530e-13	1	3.06414890e-02	1.58159040e-14	1	false	smoothSolver	4.72573390e-04	6.77114700e-14	1	true	DILUPBiCGStab	6.18837440e-04	1.37177740e-10	1	true	DILUPBiCGStab	6.29837800e-06	4.24037480e-12	1	true	GAMG	4.09257960e-04	6.12311290e-15	1	true
3.16646e-06     	smoothSolver	1.67976850e-04	1.07493510e-13	1	2.96542770e-02	1.43823550e-14	1	false	smoothSolver	4.58304030e-04	6.54650850e-14	1	true	DILUPBiCGStab	5.99361670e-04	1.32831550e-10	1	true	DILUPBiCGStab	6.27268160e-06	4.21033190e-12	1	true	GAMG	3.95715060e-04	6.58021130e-15	1	true
3.26647e-06     	smoothSolver	1.66349430e-04	1.04130020e-13	1	2.87256500e-02	1.31544520e-14	1	false	smoothSolver	4.44913120e-04	6.34133820e-14	1	true	DILUPBiCGStab	5.81103960e-04	1.28759960e-10	1	true	DILUPBiCGStab	6.24608750e-06	4.17949490e-12	1	true	GAMG	3.83040730e-04	5.78670910e-15	1	true
3.36647e-06     	smoothSolver	1.64746300e-04	1.00537480e-13	1	2.78504770e-02	1.21053690e-14	1	false	smoothSolver	4.32320180e-04	6.15509850e-14	1	true	DILUPBiCGStab	5.63952500e-04	1.24935190e-10	1	true	DILUPBiCGStab	6.21862060e-06	4.14786880e-12	1	true	GAMG	3.71154940e-04	5.57028000e-15	1	true
3.46647e-06     	smoothSolver	1.63166930e-04	9.84113680e-14	1	2.70242130e-02	1.11796620e-14	1	false	smoothSolver	4.20454360e-04	6.03265810e-14	1	true	DILUPBiCGStab	5.47808530e-04	1.21335160e-10	1	true	DILUPBiCGStab	6.19029230e-06	4.11546660e-12	1	true	GAMG	3.59987060e-04	5.78776630e-15	1	true
3.56648e-06     	smoothSolver	1.61610340e-04	9.50953340e-14	1	2.62428160e-02	1.03497390e-14	1	false	smoothSolver	4.09252970e-04	5.67716600e-14	1	true	DILUPBiCGStab	5.32586210e-04	1.17942790e-10	1	true	DILUPBiCGStab	6.16108040e-06	4.08229780e-12	1	true	GAMG	3.49474610e-04	5.15102120e-15	1	true
