# Solver information
# Time          	U_solver        	Ux_initial      	Ux_final        	Ux_iters        	Uz_initial      	Uz_final        	Uz_iters        	U_converged     	e_solver        	e_initial       	e_final         	e_iters         	e_converged     	k_solver        	k_initial       	k_final         	k_iters         	k_converged     	omega_solver    	omega_initial   	omega_final     	omega_iters     	omega_converged 	p_solver        	p_initial       	p_final         	p_iters         	p_converged     
1.97834e-06     	smoothSolver	6.89664180e-04	6.18755970e-13	1	4.79671450e-02	1.87162010e-12	1	false	smoothSolver	6.84945890e-04	1.16773110e-12	1	true	DILUPBiCGStab	6.24717980e-03	8.86354240e-12	1	true	DILUPBiCGStab	6.89355610e-07	6.89355610e-07	0	true	GAMG	6.78006900e-04	1.07378910e-13	1	true
2.07861e-06     	smoothSolver	6.55025290e-04	5.55674730e-13	1	4.56993840e-02	1.74898520e-12	1	false	smoothSolver	6.50850580e-04	1.17344940e-12	1	true	DILUPBiCGStab	5.92772940e-03	8.38254420e-12	1	true	DILUPBiCGStab	6.84796030e-07	6.84796030e-07	0	true	GAMG	6.43967260e-04	1.18407960e-13	1	true
2.17888e-06     	smoothSolver	6.23649390e-04	5.02113270e-13	1	4.36360940e-02	1.62691750e-12	1	false	smoothSolver	6.20047750e-04	1.07237850e-12	1	true	DILUPBiCGStab	5.63899210e-03	7.94318290e-12	1	true	DILUPBiCGStab	6.80055000e-07	6.80055000e-07	0	true	GAMG	6.13219220e-04	1.21948670e-13	1	true
2.27915e-06     	smoothSolver	5.95137090e-04	4.80743600e-13	1	4.17505680e-02	1.50455540e-12	1	false	smoothSolver	5.92078750e-04	1.05699340e-12	1	true	DILUPBiCGStab	5.37675320e-03	7.54378500e-12	1	true	DILUPBiCGStab	6.75130550e-07	6.75130550e-07	0	true	GAMG	5.85302500e-04	1.14641400e-13	1	true
2.37942e-06     	smoothSolver	5.69060030e-04	4.56163840e-13	1	4.00280370e-02	1.38241670e-12	1	false	smoothSolver	5.66566050e-04	9.93378790e-13	1	true	DILUPBiCGStab	5.13752720e-03	7.18235540e-12	1	true	DILUPBiCGStab	6.70098130e-07	6.70098130e-07	0	true	GAMG	5.59840760e-04	1.08655100e-13	1	true
2.47969e-06     	smoothSolver	5.45116670e-04	4.29614920e-13	1	3.84420870e-02	1.24561070e-12	1	false	smoothSolver	5.43198310e-04	9.55344810e-13	1	true	DILUPBiCGStab	4.91842350e-03	6.84706540e-12	1	true	DILUPBiCGStab	6.64713940e-07	6.64713940e-07	0	true	GAMG	5.36523410e-04	9.55345410e-14	1	true
2.57996e-06     	smoothSolver	5.23050190e-04	3.90707930e-13	1	3.69738300e-02	1.08361600e-12	1	false	smoothSolver	5.21714470e-04	9.15407160e-13	1	true	DILUPBiCGStab	4.71701010e-03	6.52568750e-12	1	true	DILUPBiCGStab	6.58801830e-07	6.58801830e-07	0	true	GAMG	5.15089210e-04	8.20848710e-14	1	true
2.68023e-06     	smoothSolver	5.02646190e-04	3.62070520e-13	1	3.56098430e-02	9.22325580e-13	1	false	smoothSolver	5.01893750e-04	8.99248410e-13	1	true	DILUPBiCGStab	4.53123090e-03	6.22382490e-12	1	true	DILUPBiCGStab	6.52660550e-07	6.52660550e-07	0	true	GAMG	4.95317680e-04	8.46475190e-14	1	true
2.7805e-06      	smoothSolver	4.83719350e-04	3.31614970e-13	1	3.43405310e-02	7.91926310e-13	1	false	smoothSolver	4.83549060e-04	8.60360280e-13	1	true	DILUPBiCGStab	4.35934180e-03	5.94511370e-12	1	true	DILUPBiCGStab	6.46718390e-07	6.46718390e-07	0	true	GAMG	4.77021970e-04	7.77795850e-14	1	true
2.88077e-06     	smoothSolver	4.66113770e-04	3.12788800e-13	1	3.31568780e-02	6.85831060e-13	1	false	smoothSolver	4.66520430e-04	8.32995900e-13	1	true	DILUPBiCGStab	4.19985760e-03	5.68730520e-12	1	true	DILUPBiCGStab	6.40939790e-07	6.40939790e-07	0	true	GAMG	4.60041710e-04	7.79108850e-14	1	true
